Level2	G5R1_MAIN_09MAY2016_LD1	G5R1_NF_09MAY2016_LD1	G5R2_MAIN_09MAY2016_LD1	G5R2_NF_09MAY2016_LD1	G5R3_MAIN_09MAY2016_LD1	G5R3_NF_09MAY2016_LD1	G5R4_MAIN_09MAY2016_LD1	G5R4_NF_09MAY2016_LD1	G5R1_MAIN_31MAY2016_LD1	G5R1_NF_31MAY2016_LD1	G5R2_MAIN_31MAY2016_LD1	G5R2_NF_31MAY2016_LD1	G5R3_MAIN_31MAY2016_LD1	G5R3_NF_31MAY2016_LD1	G5R4_MAIN_31MAY2016_LD1	G5R4_NF_31MAY2016_LD1	G5R1_MAIN_20JUN2016_LD1	G5R1_NF_20JUN2016_LD1	G5R2_MAIN_20JUN2016_LD1	G5R2_NF_20JUN2016_LD1	G5R3_MAIN_20JUN2016_LD1	G5R3_NF_20JUN2016_LD1	G5R4_MAIN_20JUN2016_LD1	G5R4_NF_20JUN2016_LD1	G5R1_MAIN_12JUL2016_LD1	G5R1_NF_12JUL2016_LD1	G5R2_MAIN_12JUL2016_LD1	G5R2_NF_12JUL2016_LD1	G5R3_MAIN_12JUL2016_LD1	G5R3_NF_12JUL2016_LD1	G5R4_MAIN_12JUL2016_LD1	G5R4_NF_12JUL2016_LD1	G5R1_MAIN_01AUG2016_LD1	G5R1_NF_01AUG2016_LD1	G5R2_MAIN_01AUG2016_LD1	G5R2_NF_01AUG2016_LD1	G5R3_MAIN_01AUG2016_LD1	G5R3_NF_01AUG2016_LD1	G5R4_MAIN_01AUG2016_LD1	G5R4_NF_01AUG2016_LD1	G5R1_MAIN_22AUG2016_LD1	G5R1_NF_22AUG2016_LD1	G5R2_MAIN_22AUG2016_LD1	G5R2_NF_22AUG2016_LD1	G5R3_MAIN_22AUG2016_LD1	G5R3_NF_22AUG2016_LD1	G5R4_MAIN_22AUG2016_LD1	G5R4_NF_22AUG2016_LD1	G5R1_MAIN_12SEP2016_LD1	G5R1_NF_12SEP2016_LD1	G5R2_MAIN_12SEP2016_LD1	G5R2_NF_12SEP2016_LD1	G5R3_MAIN_12SEP2016_LD1	G5R3_NF_12SEP2016_LD1	G5R4_MAIN_12SEP2016_LD1	G5R4_NF_12SEP2016_LD1	G5R1_MAIN_03OCT2016_LD1	G5R1_NF_03OCT2016_LD1	G5R2_MAIN_03OCT2016_LD1	G5R2_NF_03OCT2016_LD1	G5R3_MAIN_03OCT2016_LD1	G5R3_NF_03OCT2016_LD1	G5R4_MAIN_03OCT2016_LD1	G5R4_NF_03OCT2016_LD1
Amino acid metabolism	230.8013133002042	257.0389038774962	237.71371209826063	273.2272463490152	111.7222953186899	256.7898330189912	222.52165424102188	258.11028045993254	142.08560305328584	253.14255391176465	110.3487149296777	89.13145111174964	19.399067809878353	67.90034606058444	111.609618287638	128.8270133758732	231.20332184054783	240.7114004922978	258.5119070782809	259.8935091305938	127.457127269854	226.62661375351692	245.52963942926164	268.6330641327098	255.83485148306792	244.62791043496279	245.87395976946536	243.9127303330656	234.44790566205805	237.53231209535028	249.9453743994346	253.60462490404993	228.93937277545302	219.09590957696693	215.52782915325736	224.68354975453946	221.38685510974946	224.14071715291317	225.8210419474362	231.71229217908427	202.80749172007359	201.68145104083604	198.2830134999058	208.14761699280794	198.07772882765082	200.3313170709025	198.12478201879605	212.70450041540568	194.83177898539847	199.25722473341375	198.60493388206743	200.73694686785768	197.1920420467438	194.67662752689543	193.98699797734798	200.47435941846734	193.43823598034533	194.0230144008585	192.78541170319104	194.13434808052546	192.54247790373722	194.2595694695768	193.51321632400126	193.34921103095203
Biosynthesis of other secondary metabolites	22.126604204459582	66.7839720594859	90.47246972858169	45.65433299669006	0.0	83.21710445962376	38.66123756657082	42.496782519920814	21.120829875731122	95.59633993588679	0.0	0.0	0.0	0.0	0.0	0.0	88.55449968272839	94.24229128354922	59.44170583690759	54.632984438863105	19.63880442889591	86.7358829408585	111.52660224672633	61.43408964366739	79.46334060193887	75.0453164248172	96.0542958687065	94.32704270644443	71.36537763788316	90.34655065958233	99.29745435391801	75.69893616217675	88.80920995430537	83.9678609097343	84.38031421286585	87.49160683934198	104.42156510599641	89.63182205359291	89.66242026757511	89.9258411271403	78.68069736457784	94.48722496885043	92.26278799363206	96.51364066163266	94.41667138784622	93.43133420319097	94.48682366170603	82.59238221068476	91.39653270182347	76.25054442824123	92.31889071297532	93.66749991620594	91.34865911525205	90.2557626796326	90.16045994089595	93.83838745705647	90.56784425447653	90.5545062207201	89.32099834319246	90.02441430928374	90.23796959528457	90.23168448699366	90.22417362283761	90.69088144814847
Carbohydrate metabolism	303.2689454092725	338.19896716345295	278.1283594723406	222.80548578424768	196.08596433706072	294.39988952208415	236.8070129460391	288.85670334508285	251.67050053624988	299.8329408812169	156.47393882204733	196.93722322885836	156.09589536167385	110.52901291336511	64.46542981673608	156.30296865015606	267.7037322107961	286.6916800246668	275.245698401433	267.1793802975141	150.64786016627798	262.4678764285583	283.86903894810405	286.8421656992843	293.1656398402478	282.64503970857015	284.95320799780006	281.4401767118699	275.0355384793566	269.6709712288879	269.774194788458	274.71167998981457	262.5392451449565	251.14112365909767	247.97924366080775	258.42989458727214	252.79138558815816	257.6302547114534	260.49286079287555	264.5654394477328	232.46433179417562	232.59614592028475	226.59773927377503	238.06566432909378	227.54747668699952	229.3795068204726	228.09532032753842	243.7051101832448	224.29433070182984	229.01565548049808	228.63286445039876	232.09950939900742	227.18189804457268	224.31264442486278	223.49782282449468	231.15034981217698	223.12294882983562	223.92254139802645	222.9411726267686	224.402288676326	222.39336403093012	224.2979539861556	223.31700348475573	223.5243368297497
Cell growth and death	39.13375195751645	40.70353061465042	37.954021102174536	0.0	0.0	39.47188562156512	0.0	0.0	0.0	37.253587405685984	0.0	0.0	0.0	0.0	0.0	0.0	36.71864389380032	0.0	35.38929438675928	0.0	0.0	35.299826608045585	38.78393722228863	0.0	0.0	36.912736754828536	37.69362643132159	38.20418258903415	0.0	38.23386462862324	0.0	0.0	37.056154068593365	33.64174166401141	33.475655310070664	34.87418734556892	34.03704474040309	35.03084776530792	34.9321919683227	35.55842052765272	31.339945395801337	31.780581902015015	31.155965884543996	32.92252335260175	30.269045728929495	31.80470913519309	30.66214307814636	33.33351397741292	29.99384566102377	30.52206863392858	30.075469385606187	31.246494534856062	30.152321691814176	30.089123142279192	29.75964663859558	31.40354717018095	29.83588097667018	30.03203928792548	29.68358585530691	29.914604409615453	29.783171845544363	29.69158990149639	29.726313806428596	29.98120764050932
Cell motility	20.82546051910671	21.23203640082112	18.212028036095973	0.0	0.0	22.120632295567386	0.0	0.0	17.965199287126577	18.966622818638694	0.0	0.0	0.0	0.0	0.0	0.0	17.726740738088356	18.205252236906958	0.0	19.244400904173645	0.0	17.059832788763003	19.018666569763518	0.0	19.534371667686546	20.071667503721457	18.93860457628757	19.382921434603073	18.343760064470455	17.729994616586268	18.439325568579516	0.0	17.531343798914794	16.82681306958685	16.088416750510124	16.96667391776681	16.685668907970022	16.867890327197	16.870701266277567	18.052972214316828	15.002315956408001	14.841586772395669	15.162561898394374	15.45002736510831	14.862469251519075	15.074300902867844	14.669378105429944	15.863001084438405	15.021232307938678	15.106400944178368	15.1049078602538	15.251421863889272	15.268935512147834	15.110585936864819	15.022016675634845	15.094027011277598	15.08561596670622	15.067107711445873	15.05744675773914	15.044458656144867	15.116644913687301	15.171567727521207	15.002204584583666	14.724569638839847
Cellular community	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.116349991021785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.96904178441489	14.656499820090632	16.293577101060695	15.752358046902348	16.58861624521822	15.969182238357677	0.0	0.0	15.321034746055677	0.0	15.931231267762325	0.0	16.22665540991434	0.0	17.482036830570667	19.373036378108658	15.431996759396759	15.317047710718574	16.267170098718946	14.540826864420517	15.761931004835505	15.347093230305251	14.805452422100291	14.885562880193065	15.387654763448392	15.875778470881475	15.404708460796332	16.257874339133085	16.137301138167544	15.718499630051955	15.38873969855134	14.752725376168465
Digestive system	0.0	0.0	17.9951279046112	0.0	17.898316376264646	0.0	0.0	16.572518512835938	0.0	0.0	18.26789116244688	0.0	0.0	0.0	0.0	0.0	17.50552700596784	0.0	17.66830875204982	0.0	0.0	17.201427951650903	18.049939392444312	0.0	0.0	17.512100596866276	15.179171068021349	17.58834787854966	0.0	16.6230155250295	0.0	0.0	17.438934618775825	16.90335495591319	33.76252670600206	17.4251917238658	17.69737659185718	16.20534414075164	33.88039139998213	17.751410111473863	32.42967330689735	32.500471882075225	31.09190140541154	16.72581738280669	15.31914537597503	30.213474095802205	15.368695553350518	32.75100491295191	31.802802692382066	32.36568128499425	31.54346245760025	32.3945303633288	32.44315109240308	47.279659855577336	48.863460476639005	48.39432361228601	31.116060535251087	31.50729078943972	47.855223462931335	31.270142129539288	45.464452659638425	49.34188838140361	47.09799594868249	31.2155871986455
Energy metabolism	107.9582434727127	130.25012152179733	128.10619694971396	109.60040496830382	22.03890587507462	138.18957274251233	81.8867722392992	136.3982619981756	104.75567511531445	133.83258195360222	108.5302775226922	62.890751980383456	47.07497208893352	42.32504491734484	44.502083986105305	47.03552150194969	125.2928267247143	128.16686057384092	99.15583055037341	119.8308067992187	103.31021867832169	122.40396064659394	113.26772238421924	123.97694350358265	132.1857193644011	128.3682881522086	111.43119944757196	130.57649138611126	126.8092789137458	127.03812011747235	132.05581060618454	132.77118387810256	120.97707375624836	115.13952234760124	114.9333911781209	118.42080648200127	117.56189551622404	117.90940925710348	119.70760121720795	121.79554637026736	107.19016820863851	107.68711950972971	106.2322736152966	110.02630017749362	104.86939880570542	107.30682624552504	105.0090149181284	112.96724397506563	103.46925432900954	105.93430924248652	105.30772875419636	107.03261562966274	105.0048959192318	103.86569265207362	103.20043945395814	106.29105303585148	103.31785952973273	103.5486165018934	103.25799988637374	103.8233995507114	103.03123916262292	104.18188584353082	103.49469069110674	103.10953397251043
Folding, sorting and degradation	0.0	0.0	16.935969825013768	0.0	0.0	18.404224300477864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.10603742343355	0.0	0.0	0.0	0.0	16.465976917019553	19.84510630315749	0.0	0.0	0.0	0.0	0.0	0.0	18.66798432571486	16.971106502144924	0.0	17.042006087983122	16.413013456082997	32.38040612162355	35.47004847950132	33.5998470638111	19.15140126194732	16.608590430389185	16.7989181468023	33.445910568650966	15.625378459094284	32.586178512225814	31.462981216254505	31.78100085486227	32.85470522525919	31.484036836917745	34.12484247583852	30.605089189621484	32.58832067829126	31.878408100108196	31.68653131408387	31.14181992220017	30.587106319210136	30.81861505810591	31.764632656119957	30.883953527662555	31.45283357831719	30.584812184006427	31.697717122475915	29.954621444435233	30.959007724296278	30.347459878128866	32.68403889253186
Global and overview maps	43.2297496372929	44.957841530352816	54.618068295680004	45.02848562894338	45.76794955709147	39.10899866861541	43.33587724237522	38.90255965403534	41.0392909123789	56.53874345584093	46.12486692588625	45.86209891251011	47.71637757123101	46.50080176945921	46.45384326041214	45.81897488844454	53.32507832382893	37.45626809419551	39.307805369992266	58.730249666857276	42.62816216339557	51.74917360425128	55.78611615553436	39.91520096893681	38.73509570327937	54.34479698062674	37.71271916053719	37.80534064954391	54.12910829400636	53.42641276526555	57.483816049098664	39.094106066050145	52.144198662107314	48.99459017572529	65.89273436686481	51.090494748662465	50.628438410129306	51.36785605046853	52.0935434232628	52.448375546892926	61.894701338598594	46.385633367857366	62.90133823338228	63.71998485167577	60.28674492246114	63.43570382357476	61.049355129944786	65.964253044516	59.865751834566154	61.06429891961187	61.058552281023324	61.743951958841535	60.24031326139245	60.03742513688092	59.10246041810607	61.72244862982869	59.18161833007801	59.597079390896255	59.15349168985647	59.59736199450576	58.68459722951777	59.390451902513966	58.84484275421072	59.6507113690303
